
[2018.05.12 18:45:36]dark[10]    time = 3682.30 ms
[2018.05.12 18:45:43]dark[10]    time = 3672.74 ms
[2018.05.12 18:45:54]dark[10]    time = 3659.78 ms
[2018.05.12 18:46:01]dark[10]    time = 3584.89 ms
[2018.05.12 18:47:05]dark[10]    time = 3636.17 ms
[2018.05.12 18:49:25]dark[5]    time = 14427.39 ms
[2018.05.12 18:56:21]dark[1]    time = 379510.89 ms
[2018.05.12 19:09:35]dark[1]    time = 362858.33 ms
[2018.05.12 19:43:24]dark[1]    time = 524213.68 ms
[2018.05.12 20:32:07]dark[1]    time = 2391628.07 ms
[2018.05.12 21:13:57]dark[1]    time = 412150.63 ms
[2018.05.17 10:35:43]dark[1]    time = 1939345.40 ms
[2018.05.17 11:03:40]dark[10]    time = 19732.86 ms
[2018.05.17 11:04:26]dark[10]    time = 26565.39 ms
[2018.05.17 11:11:55]dark[10]    time = 90048.97 ms
[2018.05.17 11:13:59]dark[10]    time = 26609.83 ms
[2018.05.17 11:16:10]dark[10]    time = 94337.21 ms
[2018.05.17 11:19:11]dark[10]    time = 113723.57 ms
[2018.05.17 11:23:09]dark[10]    time = 63539.87 ms
[2018.05.17 11:42:51]dark[10]    time = 52010.07 ms
[2018.05.17 12:17:54]dark[10]    time = 3998.40 ms
[2018.05.17 12:18:06]dark[10]    time = 4551.92 ms
[2018.05.17 12:18:14]dark[10]    time = 3717.14 ms
[2018.05.17 12:18:37]dark[10]    time = 4552.59 ms
[2018.05.17 12:19:01]dark[10]    time = 4409.73 ms
[2018.05.17 12:27:27]dark[10]    time = 68574.87 ms
[2018.05.17 12:28:16]dark[10]    time = 21015.01 ms
[2018.05.17 12:29:42]dark[10]    time = 32205.65 ms
[2018.05.17 12:32:17]dark[10]    time = 68531.29 ms
[2018.05.17 12:34:11]dark[10]    time = 25254.58 ms
[2018.05.17 12:35:08]dark[10]    time = 27931.93 ms
[2018.05.17 12:37:36]dark[10]    time = 42921.53 ms
[2018.05.17 12:39:17]dark[10]    time = 54809.27 ms
[2018.05.17 12:40:50]dark[10]    time = 16906.92 ms
[2018.05.17 12:41:45]dark[10]    time = 48404.62 ms
[2018.05.17 12:43:15]dark[10]    time = 78572.66 ms
[2018.05.17 12:47:06]dark[10]    time = 87995.44 ms
[2018.05.17 12:52:21]dark[10]    time = 72020.44 ms
[2018.05.17 12:53:59]dark[10]    time = 72948.45 ms
[2018.05.17 13:30:44]dark[10]    time = 58990.92 ms
[2018.05.17 14:01:25]dark[5]    time = 99309.56 ms
[2018.05.17 14:16:38]dark[2]    time = 656525.15 ms
[2018.05.17 15:06:49]dark[1]    time = 2871423.80 ms
[2018.05.17 16:14:39]dark[10]    time = 41187.84 ms
[2018.05.17 16:16:35]dark[10]    time = 59076.86 ms
[2018.05.17 16:18:04]dark[10]    time = 34567.57 ms
[2018.05.17 16:19:49]dark[10]    time = 47554.95 ms
[2018.05.17 16:20:47]dark[10]    time = 39043.59 ms
[2018.05.17 16:21:32]dark[10]    time = 33183.00 ms
[2018.05.17 16:28:54]dark[10]    time = 12470.11 ms
[2018.05.17 16:41:01]dark[10]    time = 3889.54 ms
[2018.05.17 16:41:15]dark[10]    time = 4174.08 ms
[2018.05.17 16:41:37]dark[10]    time = 5687.99 ms
[2018.05.17 16:41:54]dark[10]    time = 5469.98 ms
[2018.05.17 16:42:36]dark[10]    time = 4450.77 ms
[2018.05.17 16:45:52]dark[10]    time = 7620.95 ms
[2018.05.17 16:46:34]dark[10]    time = 12056.84 ms
[2018.05.17 16:47:18]dark[10]    time = 11091.30 ms
[2018.05.17 16:47:53]dark[10]    time = 7534.62 ms
[2018.05.17 16:48:13]dark[10]    time = 4421.94 ms
[2018.05.17 16:49:26]dark[10]    time = 5759.22 ms
[2018.05.17 16:49:39]dark[10]    time = 5806.59 ms
[2018.05.17 16:49:59]dark[10]    time = 4569.85 ms
[2018.05.17 16:50:20]dark[10]    time = 4915.06 ms
[2018.05.17 16:50:36]dark[10]    time = 6309.79 ms
[2018.05.17 16:51:22]dark[10]    time = 13402.33 ms
[2018.05.17 16:51:51]dark[10]    time = 8189.25 ms
[2018.05.17 16:52:10]dark[10]    time = 10526.36 ms
[2018.05.17 16:52:36]dark[10]    time = 15002.87 ms
[2018.05.17 16:53:24]dark[10]    time = 12150.05 ms
[2018.05.17 16:56:36]dark[10]    time = 12939.71 ms
[2018.05.17 16:57:38]dark[10]    time = 13882.98 ms
[2018.05.17 16:58:24]dark[10]    time = 13860.77 ms
[2018.05.17 17:31:55]dark[10]    time = 58133.22 ms
[2018.05.17 17:32:36]dark[10]    time = 27743.92 ms
[2018.05.17 17:34:10]dark[10]    time = 21978.80 ms
[2018.05.17 17:35:00]dark[10]    time = 25912.92 ms
[2018.05.17 17:35:46]dark[10]    time = 9194.62 ms
[2018.05.17 17:36:10]dark[10]    time = 5660.06 ms
[2018.05.17 17:37:33]dark[10]    time = 6157.52 ms
[2018.05.17 17:37:47]dark[10]    time = 5875.19 ms
[2018.05.17 17:38:23]dark[10]    time = 15486.84 ms
[2018.05.17 17:39:22]dark[10]    time = 18626.63 ms
[2018.05.17 17:39:51]dark[10]    time = 5984.09 ms
[2018.05.17 17:41:21]dark[10]    time = 29706.12 ms
[2018.05.17 17:43:12]dark[10]    time = 39619.01 ms
[2018.05.17 17:47:20]dark[10]    time = 24837.36 ms
[2018.05.17 17:56:09]dark[2]    time = 403228.92 ms
[2018.05.17 18:25:58]dark[2]    time = 1456044.08 ms
[2018.05.17 22:21:52]dark[40]    time = 3613.25 ms
[2018.05.17 22:22:24]dark[40]    time = 3161.52 ms
[2018.05.17 22:22:39]dark[40]    time = 942.00 ms
[2018.05.17 22:22:43]dark[40]    time = 2649.90 ms
[2018.05.17 22:22:49]dark[40]    time = 2976.39 ms
[2018.05.17 22:22:57]dark[40]    time = 2833.60 ms
[2018.05.17 22:24:59]dark[40]    time = 2230.32 ms
[2018.05.17 22:29:50]dark[40]    time = 2549.40 ms
[2018.05.17 22:31:47]dark[40]    time = 2769.87 ms
[2018.05.17 22:35:20]dark[40]    time = 1322.05 ms
[2018.05.17 22:36:49]dark[40]    time = 3342.62 ms
[2018.05.17 23:13:02]dark[40]    time = 2492.05 ms
[2018.05.17 23:16:12]dark[40]    time = 2328.96 ms
[2018.05.17 23:20:14]dark[40]    time = 3293.38 ms
[2018.05.18 08:48:42]dark[40]    time = 1588.60 ms
[2018.05.18 08:53:42]dark[40]    time = 1426.15 ms
[2018.05.18 09:23:28]dark[40]    time = 1855.37 ms
[2018.08.02 23:24:46]dark[40]    time = 2187.20 ms
[2018.08.02 23:24:53]dark[40]    time = 1802.84 ms
[2018.08.02 23:25:45]dark[40]    time = 1926.52 ms
[2018.08.02 23:26:36]dark[10]    time = 31817.63 ms
[2018.08.02 23:27:24]dark[10]    time = 25741.45 ms
[2018.08.02 23:28:50]dark[10]    time = 28021.75 ms
[2018.08.02 23:31:26]dark[5]    time = 107173.26 ms
[2018.08.02 23:44:40]dark[2]    time = 394375.16 ms
[2018.08.02 23:52:36]dark[2]    time = 343554.72 ms
[2018.08.03 00:00:55]dark[2]    time = 363158.11 ms
[2018.08.05 04:54:27]dark[2]    time = 235984.65 ms
[2018.08.05 05:15:49]dark[1]    time = 882403.00 ms
[2018.08.05 07:33:21]dark[1]    time = 826913.27 ms
[2018.08.05 10:52:46]dark[1]    time = 1064611.79 ms
[2018.08.05 11:11:34]dark[1]    time = 811961.30 ms
[2018.08.05 11:27:15]dark[1]    time = 690109.01 ms
[2018.08.05 12:20:07]dark[1]    time = 634717.68 ms
[2018.08.05 13:00:57]dark[1]    time = 663390.39 ms
[2018.08.05 21:19:41]dark[1]    time = 1266019.84 ms
[2018.08.05 22:07:14]dark[1]    time = 1115194.61 ms
[2018.08.06 00:12:06]dark[1]    time = 780137.88 ms
[2018.08.06 00:32:48]dark[1]    time = 753539.78 ms
[2018.08.06 09:53:49]dark[20]    time = 3950.31 ms
[2018.08.06 09:58:00]dark[10]    time = 15618.49 ms
[2018.08.06 10:03:38]dark[5]    time = 60172.21 ms
[2018.08.06 10:41:07]dark[5]    time = 77441.46 ms
[2018.08.06 12:56:44]dark[5]    time = 62021.51 ms
[2018.08.06 17:58:11]dark[2]    time = 456738.33 ms
[2018.08.06 18:42:17]dark[1]    time = 1801625.14 ms
[2019.03.30 21:02:18]dark[1]    time = 1480037.10 ms
[2019.05.06 20:33:49]dark[1]    time = 891889.12 ms
[2019.05.06 20:46:49]dark[1]    time = 192196.37 ms
[2019.05.11 00:33:26]dark[1]    time = 509976.83 ms
[2019.06.30 23:36:22]dark[1]    time = 671397.89 ms
[2019.06.30 23:53:17]dark[1]    time = 656331.91 ms
[2019.07.10 23:47:01]dark[1]    time = 5573103.20 ms
[2019.07.26 23:31:15]dark[1]    time = 1285668.28 ms
[2019.07.27 19:09:58]dark[1]    time = 12453771.63 ms
[2019.07.27 22:24:45]dark[1]    time = 2129915.25 ms
[2019.07.28 16:17:42]dark[1]    time = 2531085.69 ms
[2019.07.29 11:47:55]dark[1]    time = 16771786.74 ms
[2019.07.29 12:39:39]dark[1]    time = 2093203.40 ms
[2019.07.29 13:51:20]dark[1]    time = 1145763.43 ms
[2019.07.29 17:44:36]dark[1]    time = 623869.71 ms
[2019.07.29 18:09:11]dark[1]    time = 827239.66 ms
[2019.07.29 18:39:10]dark[1]    time = 1324801.36 ms
[2019.07.29 20:15:47]dark[1]    time = 2486047.34 ms
[2019.07.30 13:59:41]dark[1]    time = 2916985.50 ms
[2019.07.31 22:24:26]dark[1]    time = 944301.17 ms
[2019.07.31 23:57:24]dark[1]    time = 1413753.50 ms
[2019.08.24 11:06:54]dark[1]    time = 1717193.52 ms
[2019.08.24 15:35:22]dark[1]    time = 4724505.22 ms
[2019.08.24 20:21:24]dark[1]    time = 492287.47 ms
[2019.08.24 22:54:50]dark[1]    time = 720907.62 ms
[2020.01.23 06:23:08]dark[1]    time = 1422345.67 ms
[2020.01.23 13:44:35]dark[1]    time = 938271.05 ms
[2020.01.23 14:37:23]dark[1]    time = 858343.02 ms
[2020.01.24 20:22:54]dark[1]    time = 1204142.16 ms
[2020.01.28 13:04:15]dark[1]    time = 1909040.07 ms
[2020.01.28 14:04:45]dark[16]    time = 6398.39 ms
[2020.01.28 14:05:05]dark[16]    time = 6272.80 ms
[2020.01.28 14:05:17]dark[16]    time = 5310.66 ms
[2020.01.28 14:05:44]dark[16]    time = 5568.60 ms
[2020.01.28 14:06:04]dark[16]    time = 5179.84 ms
[2020.01.28 14:06:20]dark[16]    time = 6460.99 ms
[2020.01.28 14:06:30]dark[16]    time = 6526.93 ms
[2020.01.28 14:06:47]dark[16]    time = 6248.99 ms
[2020.01.28 14:07:35]dark[16]    time = 7076.79 ms
[2020.01.28 14:08:04]dark[16]    time = 6660.84 ms
[2020.01.28 14:08:31]dark[16]    time = 6601.33 ms
[2020.01.28 14:08:49]dark[16]    time = 6932.56 ms
[2020.01.28 14:09:14]dark[16]    time = 5440.21 ms
[2020.01.28 14:09:34]dark[16]    time = 6382.68 ms
[2020.01.28 14:09:45]dark[16]    time = 6428.55 ms
[2020.01.28 14:09:59]dark[16]    time = 6642.51 ms
[2020.01.28 14:10:14]dark[16]    time = 7625.42 ms
[2020.01.28 14:10:30]dark[16]    time = 6121.01 ms
[2020.01.28 14:11:03]dark[16]    time = 7403.78 ms
[2020.01.28 14:14:34]dark[8]    time = 28571.05 ms
[2020.01.28 14:15:22]dark[8]    time = 21458.37 ms
[2020.01.28 14:16:20]dark[8]    time = 28961.71 ms
[2020.04.04 17:16:22]dark[1]    time = 5021903.15 ms
[2020.06.16 19:43:31]dark[1]    time = 4427518.70 ms
[2020.09.28 21:38:36]dark[1]    time = 15488300.34 ms
[2020.10.13 16:38:28]dark[1]    time = 1284276.90 ms
[2020.10.25 12:24:00]dark[1]    time = 580458.35 ms
[2020.10.25 13:55:17]dark[1]    time = 384949.57 ms
[2020.10.26 14:29:49]dark[1]    time = 743053.34 ms
[2020.10.26 14:46:06]dark[1]    time = 703151.20 ms
[2020.10.26 15:40:01]dark[1]    time = 771423.11 ms
[2020.10.26 16:02:50]dark[1]    time = 762119.51 ms
[2020.10.26 19:33:32]dark[1]    time = 500714.85 ms
[2020.10.26 20:14:09]dark[1]    time = 583370.25 ms
[2020.10.27 00:18:23]dark[1]    time = 583094.83 ms
[2020.10.27 00:47:06]dark[1]    time = 676540.76 ms
[2020.11.04 23:45:29]dark[1]    time = 1324501.90 ms
[2020.11.11 07:31:14]dark[1]    time = 2859906.74 ms
[2020.11.18 18:56:41]dark[1]    time = 1826641.14 ms
[2020.11.18 20:05:58]dark[1]    time = 2249716.97 ms
[2020.11.21 02:19:07]dark[1]    time = 2907111.84 ms
[2020.11.21 04:37:50]dark[1]    time = 7156555.14 ms
[2020.11.21 05:37:08]dark[1]    time = 3179744.79 ms
[2021.01.02 10:22:31]dark[1]    time = 782459.07 ms
[2021.03.15 08:21:11]dark[1]    time = 6293755.82 ms
[2021.03.15 08:57:43]dark[1]    time = 977214.66 ms
[2021.05.04 14:16:06]dark[1]    time = 234003.74 ms
[2021.05.05 04:32:31]dark[1]    time = 790182.70 ms
